panel	dataset	source_file	ACTIVATION_CONCORDANCE	ACTIVATION_EFFECT	ATTENUATION_CONCORDANCE	ATTENUATION_EFFECT	D1_MEAN	D30_MEAN	D7_MEAN	LODO_retention	N_GENES	PEAK_TIME	QUALITY	RETURN_TOWARD_SKIN_RATIO	SKIN_MEAN	SUBTYPE_SENSITIVITY	activation	activation_concordance	activation_sign_preserved	attenuation	attenuation_concordance	attenuation_sign_preserved	donor	gene	input_type	low_cell_count_warning	module	n_fibroblast_cells	rank	rank_stability	sample_id	score	technical_flag	timepoint
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.83838993010274	3		0.766560573850538	3			ANKRD2			D7_M3		76	0.992707664027399			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							3.13167527270796	3		0.58130177447982	3			ADAM19			D7_M3		77	0.9912378238513			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.18192224103099	3		1.16154788782187	3			SLC52A2			D7_M3		78	0.975026710831705			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.71860111077877	3		1.42091608860454	3			PLEKHO1			D7_M3		79	0.991139401075901			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.21158841059122	3		1.09376452607932	3			TXNL4A			D7_M3		80	0.975921991139515			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.12707282411032	3		1.12580074305922	3			SEC11C			D7_M3		81	0.992016704031457			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.21253619842089	3		1.08736308235678	3			ACAA2			D7_M3		82	0.965896477555691			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.84526601907261	3		1.27468455733874	3			LDHB			D7_M3		83	0.980029860067009			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							2.31271603233053	3		0.938340888058142	3			RFC4			D7_M3		84	0.9896614571071			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.57272148292313	3		1.36760769055614	3			C12orf75			D7_M3		85	0.94867246240033			NO	
F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv								3							1.86492847194258	3		1.19737536591961	3			NACC1			D7_M3		86	0.981013285616314			NO	
