rank	gene	module	activation	attenuation	activation_concordance	attenuation_concordance	LODO_retention	rank_stability	technical_flag
242	MACROH2A1	D7_M3	1.22369241183116	0.795279404237935	3	3	3	0.973670579803938	NO
243	NUDT5	D7_M3	1.64935451312034	0.50646018611994	3	3	3	0.968897074649404	NO
244	GARS1	D7_M3	1.83065147142255	0.377476120353583	3	3	3	0.966881127581901	NO
245	MYH9	D7_M3	2.04617429812663	0.578295205061127	3	3	2	0.964222324137723	NO
246	APOO	D7_M3	1.54021887133235	0.584490707251164	3	3	3	0.952305081733268	NO
247	EDEM2	D7_M3	1.62467996390053	0.514842212325271	3	3	3	0.951422253502752	NO
248	TRAPPC12	D7_M3	0.9831969633574	0.901170778076712	3	3	3	0.929149164935868	NO
249	HYAL2	D7_M3	2.18192940181054	0.474376980934347	3	3	2	0.969424323897274	NO
250	ATP5F1A	D7_M3	1.23907972509695	0.743900070976061	3	3	3	0.958505616771601	NO
251	GSR	D7_M3	1.26519766906191	0.713968129249225	3	3	3	0.992346759795249	NO
252	TIGD5	D7_M3	1.17816189707903	0.753500004709232	3	3	3	0.951179965513237	NO
253	DHX32	D7_M3	0.859608974200015	0.926696973462582	3	3	3	0.920958451473722	NO
254	YARS1	D7_M3	1.24305044493105	0.713653388594485	3	3	3	0.957400217948636	NO
255	CYTOR	D7_M3	1.75893281953649	0.564196866915219	3	3	3	0.970418209287226	NO
256	CFL1	D7_M3	1.43138963460527	0.583049939668882	3	3	3	0.977612342690109	NO
257	STX1A	D7_M3	0.993207008751992	0.842929717385041	3	3	3	0.913606356746826	NO
258	ITPA	D7_M3	1.60647451774246	0.4567745267846	3	3	3	0.982979736499216	NO
259	MIER2	D7_M3	1.53658188386773	0.520544902746259	3	3	3	0.976716368270621	NO
260	NUDT1	D7_M3	1.58350503625292	0.48349154702922	3	3	3	0.978543565995678	NO
261	MRPL44	D7_M3	1.47603841070247	0.536940972945946	3	3	3	0.95164867244529	NO
262	MRPL35	D7_M3	1.39870696371921	0.740512840495398	3	3	3	0.970688968405483	NO
263	SLC25A3	D7_M3	0.991780275317712	0.838944354893107	3	3	3	0.970108515198753	NO
264	CNIH4	D7_M3	1.26089266045136	0.662996221115733	3	3	3	0.964277256931712	NO
265	FH	D7_M3	1.58220858536967	0.464254738366966	3	3	3	0.968576936539144	NO
266	AMMECR1	D7_M3	1.03301291210832	0.819676245053782	3	3	3	0.951204813375461	NO
267	NUDT15	D7_M3	1.18233072446417	0.871398344512074	3	3	3	0.964023048543756	NO
268	ACLY	D7_M3	1.24455022454486	0.661986333130967	3	3	3	0.957286446256295	NO
269	DCLRE1B	D7_M3	1.42246516447095	0.534580297262801	3	3	3	0.970025777629665	NO
270	UQCRH	D7_M3	1.2389420572236	0.668182582093634	3	3	3	0.949021538141283	NO
271	COLGALT1	D7_M3	1.59226783421461	0.43001729871921	3	3	3	0.976347520341346	NO
272	MBD3	D7_M3	1.20899803054642	0.833809649567225	3	3	3	0.981687022884021	NO
273	RP11-803D5.4	D7_M3	1.29523085629368	0.63626972503869	3	3	3	0.931260524599132	NO
274	GPAA1	D7_M3	1.19507253823641	0.686112052798737	3	3	3	0.91445382783572	NO
275	CLIC1	D7_M3	1.18257895672504	0.676001200008413	3	3	3	0.97850903311133	NO
276	C5orf34	D7_M3	1.11151801797112	0.70642390990123	3	3	3	0.978949484510874	NO
277	DNAAF5	D7_M3	1.46633721609916	0.642938934714802	3	3	3	0.978874185376482	NO
278	ERCC2	D7_M3	2.30820786311852	0.312836526898762	3	3	2	0.938293120617643	NO
279	NDUFAF3	D7_M3	1.20985568749059	0.665508677330941	3	3	3	0.955785396863069	NO
280	DGKZ	D7_M3	0.982398431145473	0.816684899775595	3	3	3	0.955287635194585	NO
281	STK10	D7_M3	1.34269209101211	0.551139148428474	3	3	3	0.939376212414364	NO
282	ANKRD13A	D7_M3	1.02629798762738	0.755356402440898	3	3	3	0.980677331195866	NO
283	CYB561	D7_M3	1.49455012691925	0.457959338071269	3	3	3	0.966968566702903	NO
284	CALR	D7_M3	1.39107274725617	0.531200151154209	3	3	3	0.990688709445114	NO
285	CDK7	D7_M3	1.06931768697819	0.703754574966625	3	3	3	0.930662174538199	NO
286	ANAPC15	D7_M3	2.10552372078914	0.375312899028432	3	3	2	0.955053862744486	NO
287	TCF7	D7_M3	0.997352921292151	0.752882213042837	3	3	3	0.958828171523728	NO
288	GNG5	D7_M3	1.54665786461763	0.420519740250425	3	3	3	0.970994209173059	NO
289	TRMU	D7_M3	1.50143043208128	0.438768753727286	3	3	3	0.983523083243897	NO
290	FBXW5	D7_M3	1.17055637773199	0.669817657842658	3	3	3	0.963121002985222	NO
291	BCAR1	D7_M3	1.1469215439796	0.643421158537371	3	3	3	0.951835244442807	NO
292	AC112715.2	D7_M3	1.40051199471513	0.494202433350061	3	3	3	0.99030366610672	NO
293	PACC1	D7_M3	1.2805047969624	0.710036542013738	3	3	3	0.983628083923241	NO
